STT,Câu hỏi,1,2,3,4,Đáp án
2842,Thành phần ban quản lý kho tiền bao gồm những ai?,"Giám đốc, Trưởng phòng kế toán ngân quỹ/ Tổ trưởng tổ kế toán và Thủ kho/ Thủ quỹ",,,,1
2843,"Chủ tịch hội đồng kiểm kê, hội đồng kiểm đếm, phân loại tiền là ai?",Giám đốc,,,,1
2844,"Trường hợp thiếu tiền mặt, tài sản quý, giấy tờ có giá theo biên bản của hội đồng kiểm kê/hội đồng kiểm đếm, phân loại tiền, ai phải chịu trách nhiệm bồi thường 100% giá trị tài sản thiếu?","Người có tên trên niêm phong, bó, túi, hộp, bao, thùng tiền mặt, tài sản quý, giấy tờ có giá",,,,1
2845,Sổ sách kho quỹ hiện nay có bao nhiêu loại?,14 loại,,,,1
2846,Agribank phải tổng hợp gửi báo cáo công tác kho quỹ toàn hệ thống gửi NHNN trước ngày nào?,Trước ngày 15/1 năm kế tiếp,,,,1
2847,"Hàng năm, chi nhánh gửi báo cáo về chi nhánh NHNN trên địa bàn và gửi về Trụ sở chính trước ngày nào?",Trước ngày 05/1 năm kế tiếp,,,,1
2848,Quyết định 4106 của TGĐ có hiệu lực thi hành kể từ ngày nào?,43102,,,,1
2849,Phương thức bảo mật email không gồm?,Cẩn thận với các đính kèm và đường dẫn lạ,Sử dụng mật khẩu phức tạp,Dùng 01 email cho nhiều dịch vụ,Hạn chế dùng wifi công cộng,3
2850,"Phần, mục phải có tiêu đề đối với các loại VB được bố cục theo?","Phần, chương, mục, tiểu, điều","Mục, khoản, điểm","Phần, mục, khoản, điểm","khoản, điểm",3
2851,Họ và tên của người kí văn bản được trình bày: ,"Bằng chữ thường, cỡ chữ 12, kiểu chữ đứng đậm","Bằng chữ thường, cỡ chữ 13-14, kiểu chữ đứng đậm, đặt canh giữa quyền hạn, chức vụ của người kí","Bằng chữ thường, cỡ chữ 12, kiểu chữ đứng đậm, đặt canh giữa quyền hạn, chức vụ của người kí","Bằng chữ thường, kiểu đứng, đậm",2
2852,Sử dụng phông chữ nào để soạn thảo văn bản?,"Phông chữ tiếng việt, bộ mã kí tự Unicode theo tiêu chuẩn VN…","Phông chữ tiếng Việt chân phương, trang trọng, nghiêm túc, phù hợp với từng loại hình văn bản","Phông chữ tiếng việt Times New Roman, Bộ mã kí tự Unicode theo Tiêu chuẩn VN,",Phông chữ tiếng việt Times New Roman,3
2853,Số văn bản được đặt ở vị trí nào?,Đặt canh phải theo chiều ngang trong phần lề dưới của văn bản,Đặt canh giữa theo chiều ngang trong phần lề dưới của văn bản,Đặt canh giữa theo chiều ngang trong phần lề trên của văn bản,,3
2854,Yêu cầu nào không bắt buộc khi soạn thảo tờ trình,Hướng giải quyết các vấn đề phải được nêu đúng theo quan điểm của cấp trên,,,,1
2855,Tính năng reply all chỉ nên sử dụng trong trường hợp nào?,"Trong trường hợp email có nội dung cần thảo luận, trao đổi tập thể khi tất cả người nhận cần biết quan điểm, ý kiến, cách giải quyết của nhau",,,,1
2856,"Khi nào có thể sử dụng chức năng ""cc"" của Mail","Khi có thể hiển thị công khai và không cần phải bảo mật thông tin, danh tính của các người nhận",,,,1
2857,Nghiệp vụ thu đổi tiền không đủ tiêu chuẩn lưu thông thuộc nhóm sản phẩm dịch vụ nào sau đây?,Huy động vốn,Nhóm thanh toán trong nước,Nhóm ngân quỹ tiền tệ,Nhóm đầu tư,3
2858,Sản phẩm dịch vụ nào không thuộc nhóm sản phẩm dịch vụ ngân hàng điện tử của Agribank,SP thẻ,Agribank emobile banking,Bankplus,Agribank internet banking,1
2859,Kênh phân phối nào khách hàng cần trực tiếp giao dịch với ngân hàng để sử dụng dịch vụ,Kênh phân phối qua TBDD,Internetbanking,Truyền thống,Không đáp án đúng,3
2860,"Theo bảng mô tả sản phẩm dịch vụ 2021, dịch vụ bảo quản tài sản thuộc nhóm sản phẩm dịch vụ nào sau đây",Huy động vốn,Tín dụng,Ngân quỹ và tiền tệ,Thẻ,3
2861,Chứng từ nào sau đây không phải đóng dấu ngân hàng,Chứng từ hạch toán lưu tại CN,SP thẻ,Chứng từ hạch toán,,1
2862,"Theo quy định của Agribank, chứng từ nào sau đây hợp lệ?",Chứng từ được viết bawgf bút chì,Chứng từ được viết bằng mực đen,2 màu mực khác nhau,Bi đỏ,2
2863,Quầy giao dịch loại 1 tại phòng KT ngân quỹ của các chi nhánh Agribank được bố trí giao dịch theo cặp gồm:,Giao dịch viên quỹ và thủ quỹ,Giao dịch viên quỹ chính và thủ quỹ chính,Giao dịch viên quỹ chích và thủ quỹ,,2
2864,"Trên chứng từ kế toán, chữ viết sử dụng khi khách hàng là người nước ngoài được quy định NTN",Chữ viết bằng tiếng Việt Nam,Chữ viết bằng tiếng nc ngoài bất kì,Tiếng anh hoặc tiếng nước ngoài được NH chấp nhận,3 đáp án trên,3
2865,Hạn mức tồn quỹ tiền mặt là?,Giá trị tối thiểu của 1 GD tiền mặt mà GD viên được phép thực hiện,Số dư tiền mặt tối đa giao dịch viên được phép duy trì tại quầy bất kì thời điểm nào trong ngày,Giá trị tối đa của 1 GD tiền mặt mà GD viên được phép thực hiện,,2
2866,Ủy nhiệm chi thuộc mẫu chứng từ kế toán nào của Agribank?,Bắt buộc in sẵn,,,,1
2867,Việc thay đổi thông tin liên quan đến Tk thanh toán của khách hàng có thể thực hiện tại đâu,Tại Agribank nơi KH mở TK,Qua kênh NHĐT,Tại Agribank nơi KH giao dịch ko phải nơi Đki,A và C đúng,4
2868,"TH tài khoản KH thụ hưởng trên lệnh chuyển đến bị phong tỏa toàn phần, chi nhánh xử lý như thế nào?",Hạch toán ghi có vào TK KH,TB ,TB cho cá nhân đơn vị ra văn bản phong tỏa GD chuyển tiền,Hạch toán ghi có vào TK đơn vị ra Vb phong tỏa GD chuyển tiền,3
2869,"TH TK người thụ hưởng trên lệnh chuyển đến ở tình trạng phong tỏa 1 phần, chi nhánh thực hiện như thế nào?",Hạch toán ghi có vào TK KH,TB đến KH để thực hiện ghi có,Hoàn trả lệnh chuyển tiền,Lập lệnh tra soát để báo với NH chuyển tiền,1
2870,"Tại Agribank, đơn vị nào sau đây là thành viên trực tiếp của hệ thống thanh toán điện tử liên ngân hàng?",Trung tâm TT,Agribank CN sở GD,TT vốn,Agribank CN SG,1
2871,GDV thực hiện tra soát lần 2 sau bao nhiêu ngày làm việc kể tử ngày tra soát lần đầu mà ko nhận được trả lời của NH nước ngoài nhận lệnh chuyển đến?,3 ngày làm việc,,,,1
2872,Dịch vụ tài chính trong nhóm DV NHĐT của Agriabank là gì,Là DV cho phép thực hiện các giao dịch làm thay đổi số dư tài khoản của KH tại Agribank,,,,1
2873,Người quy định hạn mức tối thiểu đối với DV NHĐT trong hệ thống Agribank là ai?,TGĐ,,,,1
2874,Chức năng QR code được thực hiện trên các dịch vụ nào sau đây của Agribank,SMS banking,Agribank e mobile Banking,bankplus,Agribank emobile baning và bankplus,2
2875,"Đối với lệnh thanh toán đến chờ tra soát nhưng vẫn chưa nhận được trả lời, chi nhánh được phép hoàn trả sau bn ngày làm việc kể từ ngày tra soát",2 ngày,4 ngày,5 ngày,10 ngày,2
2876,"Đối với các giao dịch chuyển tiền của CN, đơn vị nào sau đây là đơn vị đầu mối thực hiện thoái hối trực tiếp với NH khác hệ thống",TTTT,Ban ĐC TC,Agriabnk CN sở GD,TT KD vốn tiền tệ,1
2877,Lệnh thanh toán được hủy không nằm trong các TH nào sau đây,"Lệnh TT đã được lập, không sai sót nhưng KSV yêu cầu hủy không lý do",,,,1
2878,"Trong các DV sau của Agribank,  DV nào là DV tài chính trên SMS Banking",Chuyển khoản trong hệ thống Agribank,,,,1
2879,KH phải làm gì để hủy DV Agribank e-mobile banking,Đến bất kì CN nào để hủy GV,Đến CN đăng kí DV,Gọi điện đến TTCSKH,Tất cả các đáp án trên,4
2880,Những đối tượng KH nào được thực hiện thay đổi/đăng kí dịch vụ NHĐT tại bất kì chi nhánh nào của Agribank?,"Chỉ áp dụng với KH cá nhân, ko áp dụng ủy quyền",Tất cả KH,"KHCN, DN","KHCN, DN đều có thể thực hiện trực tiếp",1
2881,Agribank sẽ dừng DV NHĐT đã cung cấp cho KH trong TH nào sau đây?,KH ko hoàn thành NV thanh toán trong 1 năm,TK TT Kh chuyển sang ko hoạt động,,Tất cả các đáp án trên,4
2882,Kỳ hạn gửi tiền của sản phẩm tiết kiệm học đường từ,1 năm - 18 năm,1 năm - 10 năm,,,1
2883,Agribank triển khai sản phẩm tiền gửi nào Kh có thể gửi 1 lần và được trả lãi theo định kỳ?,,Tiền gửi trực t,,Tất cả các đáp án trên,4
2884,LS áp dụng với sản phẩm tiết kiệm  hưu trí,LS cố định suốt kỳ hạn gửi,,LS cố định suốt kỳ hạn gửi,"LS thả nổi tối đa bằng LS tiết kiệm có kỳ hạn tối đa 12 tháng, trả lãi cuối kì",4
2885,KH mở thẻ tiết kiệm của Agribank có thể thực hiện tại đâu?,Trên kênh NHĐT,Bất kì điểm nào KH chọn,Nhà riêng của KH,Tại địa điểm giao dịch của Agribank,2
2886,Hiện tại KH có thể mở tiền gửi trực tuyến thông qua kênh phân phối nào của Agribank,"Internet banking or ATM, CDM, quầy GD",CDM or ứng dụng emobile,"ATM. CDM, Internet banking, emobile banking","Internet banking, emobile banking, CDM",4
2887,Agribank nơi GD tiền gửi tiết kiệm phải thực hiện niêm yết công khai những ND nào sau đây?,"LS tiền gửi tiết kiệm, mức phí liên quan nếu có, loại ngoạt tệ nhận tiền gửi tiết kiệm",,,,1
2888,Loại tiền áp dụng đối với SP tiền gửi linh hoạt là?,USD,"USD, Euro, VND",VND,Euro,2
2889,Các hình thức trả lãi thông qua phát hành giấy tờ có giá mà Agribank đang áp dụng,Trả lãi trước/sau toàn bộ và định kỳ,Trả lãi trước và sau toàn bộ,Trả lãi sau toàn bộ định kỳ,Trả lãi sau toàn bộ,3
2890,Agribank giao dịch thực hiện kéo dài thời hạn gửi tiền với KH vào ngày đến hạn của khoản tiền gửi có kỳ hạn căn cứ vào,,Văn bản đề nghị kéo dài thời hạn gửi tiền,,A và B đều đúng,4
2891,KH có thể gửi tiền gửi có kỳ hạn thông qua TK nào,Chỉ TK KH mở tại Agribank,Tk của ng thân KH,TKTT của chính KH đó,TK do Agribank chỉ định,3
2892,"GD nào sau đây yêu cầu 02 chữ ký của cán bộ NH trên chứng từ (chũ ký của GDV, KSV)",GD chi tiền từ tk chuyển tiền phải trả,GD liên quan đến vốn và quỹ,GD ngoại bảng,GD thừa thiếu,1
2893,"Trên chứng từ kế toán, số tiền bằng chữ phải viết ntn?","Rõ nghĩa, chữ đầu của số tiền bằng chữ phải viết hoa và sát vào vị trí theo quy định",,,,1
2894,GDV quầy GD loại 1 được thực hiện các công việc nào sau đây?,"Tiếp nhận, xử lý chứng từ GD của các phòng trong chi nhánh thuộc phạm vi thẩm quyền và hạn mức được phân cấp",,,,1
2895,Loại tài khoản nào phản ánh các thu nhập của Agribank,"Tài khoản loại 7, Thu nhập",,,,1
2896,"Theo quy định của Agribank, phụ trách bộ phận hậu kiểm là?",TP kế toán ngân quỹ,"TP, PP kế toán ngân quỹ",,Phó trưởng phòng KTNQ,2
2897,Số chứng từ trong quyển nhật ký chứng từ được đánh ở đâu trên chứng từ,Góc trên bên trái,Góc trên bên phải,,,2
2898,"Theo nguồn gốc phát sinh, chứng từ bao gồm",Chứng từ điện tử và CT giấy,,CT do KH lập và do Nh lập,CT gốc và chứng từ ghi sổ,3
2899,Ủy nhiệm thu thuộc mẫu chứng từ kế toán nào của Agribank,Hướng dẫn,Bắt buộc in từ IPCAS,,Bắt buộc in sẵn,4
2900,"Để phản ánh những khoản thanh toán bù trừ giữa các ngân hàng, A sử dụng loại tài khoản nào?",TK 8,"TK5, Hoạt động thanh toán","Tk4, Các khoản phải trả",TK 1,2
2901,"TH phát hiện yếu tố bất thường trong quá trình hậu kiểm, bộ phận hậu kiểm phải làm gì?",Báo cáo với GĐ,"Trong mọi TH, báo cáo vs GĐ",,"Yêu cầu các bộ phận liên quan xác nhận giao dịch, và phối hợp để giải quyết trường hợp cần thiết, báo cáo GĐ chỉ đạo, xác minh giao dịch",4
2902,Sản phẩm tiền gửi TK nào sau đây KH có thể gửi tiền theo định kỳ hàng tháng và rút 1 lần khi đến hạn?,Tiết kiệm học đường,,,,1
2903,SP tiền gửi nào sau đây áp dụng LS thả nổi,Tiền gửi tích lũy,,,,1
2904,Loại tiền gửi nào có kỳ hạn không được gia hạn khi đến hạn,TG tích lũy,,,,1
2905,Cá nhân nước ngoài có thể gửi tiết kiệm qua sản phẩm nào của Agribank,TG có kỳ hạn trả lãi sau toàn bộ,,,,1
2906,KH gửi tiền trực tuyến bằng đồng tiền nào?,VND,,,,1
